,Words,Frequency
0,#foreverfavorite,1
1,#Emmys,1
2,#AmySchumerLearnsToCook,1
3,#RestaurantImpossible,1
4,projectcat.discovery.com,1
5,#NoshMatespartner,1
6,#Costco,1
7,#lookdodia,4
8,#supreme,2
9,#f4follow,2
10,#followme,2
11,#giveaway,2
12,#quarentena,2
13,#followforfollowback,2
14,#dankmemes,2
15,#hairstyle,2
16,#natureza,2
17,#challenge,2
18,#xadrez,2
19,#quote,2
20,#44goiania,2
21,#CelebritySlotsPartner,1
22,#CelebritySlots,1
23,#🎰📲,1
24,#NewInTown,1
25,#TalkDrink,1
26,#thisisdelhi,10
27,#foodforlife,20
28,#macaroni,1
29,#sweets,4
30,#tasty,10
31,#yummyintummy,10
32,#video,10
33,#foodphotography,10
34,#likeforlike,10
35,#streetfood,13
36,#snacks,10
37,#yum,10
38,#spicy,11
39,#satisfying,10
40,#satisfyingvideos,10
41,#mumbaifoodblogger,10
42,#grub,10
43,#mumbai,10
44,#delhifoodblogger,10
45,#f52grams,10
46,#delhincr,10
47,#breakfast,10
48,#homemade,11
49,#dessert,7
50,#india,10
51,#indian,11
52,#indianfood,11
53,#potato,1
54,#potatotwister,1
55,#lazy,1
56,#DilliFoodJunkie,2
57,#pizza,1
58,#chicken,1
59,#garlicbread,1
60,#bakenshake,1
61,#olddelhi,1
62,#cholebhature,1
63,#amritsari,1
64,#cholekulche,1
65,#chole,1
66,#kulche,1
67,#HashmiKitchen,1
68,#hashmikitchen,1
69,#Eiddish,1
70,#EidSpecial,1
71,#muttonrecipesinhindi,1
72,#muttonrecipes,1
73,#donuts,1
74,#kitkat,1
75,#gems,1
76,#mnm,1
77,#chocolate,3
78,#mithai,1
79,#paneertikka,1
80,#paneer,1
81,#tikka,1
82,#cottagecheese,1
83,#momo,1
84,#himalayan,1
85,#lasagna,1
86,#pasta,1
87,#cheese,1
88,#Foodtalkindia,10
89,#delicious,10
90,#delhigram,10
91,#feedfeed,10
92,#buzzfeast,10
93,#recipe,9
94,#mumbaifoodie,10
95,#mumbaifood,10
96,#ilovefood,10
97,#instafood,10
98,#nomnom,10
99,#hungry,10
100,#foodstagram,10
101,#eeeeeats,10
102,#foodblogger,10
103,#delhifoodie,10
104,#foodoftheday,10
105,#foodgasm,10
106,#delhi_igers,10
107,#foodiesince96,10
108,#burger,2
109,#noodleburger,1
110,#noodles,1
111,#burgersandfries,1
112,#sushi,1
113,#sushilover,1
114,#sushitime🍣,1
115,#waffle,2
116,#wafflelover,2
117,#sweet,2
118,#meetha,3
119,#waffleland,2
120,#savourywaffle,2
121,#waffles,2
122,#shake,1
123,#shakelover,1
124,#snicker,1
125,#thickshake,1
126,#icecream,2
127,#indiansweets,3
128,#soyachaap,1
129,#soya,1
130,#malaichaap,1
131,#desifood,1
132,#restaurant,1
133,#shahitukda,1
134,#kheer,1
135,#mango,1
136,#dryfruit,1
137,#foodies,2
138,#gurgaon,2
139,#pavbhaji,1
140,#pavs,1
141,#resturantfood,1
142,#sundae,1
143,#pineapple,1
144,#icecreamlovers,1
